Type Of Batch,BATCH_NAME, AVERAGE_COMPLETION_TIME, SLA
 ODS            ,BATCH_1,9:00 AM, 09:00 AM
 ODS            ,BATCH_2,11:00 AM,
 ODS            ,BATCH_3,12:00 PM,10:00 AM
 ODS            ,BATCH_4,11:00 AM,12:00 AM
 ODS            ,BATCH_5,12:30 AM,
 ODS            ,BATCH_6,12:00 AM,
 ODS            ,BATCH_7,6:00 AM,10:00 AM
 ODS            ,BATCH_8,12:30 AM,
 ODS            ,BATCH_9,12:30 AM,
 ODS            ,BATCH_10,12:30 AM,
 ODS            ,BATCH_11,12:30 AM,
 ODS            ,BATCH_12,12:30 AM,
 ODS            ,BATCH_13,12:30 AM,
 ODS            ,BATCH_14,5:00 PM,
 ODS            ,BATCH_15,5:00 PM,
 ODS            ,BATCH_16,6:00 PM,
 ODS            ,BATCH_17,12:30 PM,
 ODS            ,BATCH_18,8:00 AM,8:00 AM
OUTBOUND       ,BATCH_19,10:00 AM,6:00 PM
OUTBOUND       ,BATCH_20,6:00 PM,7:00 PM
OUTBOUND       ,BATCH_21,6:00 PM,EOD
OUTBOUND       ,BATCH_22,12:00 PM,
OUTBOUND       ,BATCH_23,10:30 AM,EOD
OUTBOUND       ,BATCH_24, 08:15 AM,
OUTBOUND       ,BATCH_25,2:00 PM,9:00 PM
OUTBOUND       ,BATCH_26,3:00 PM, 4:00 PM
OUTBOUND       ,BATCH_27,10:30 AM,EOD
OUTBOUND       ,BATCH_28,10:30 AM,EOD
OUTBOUND       ,BATCH_29,10:30 AM,EOD
OUTBOUND       ,BATCH_30,11:00 AM,
OUTBOUND       ,BATCH_31,,
OUTBOUND       ,BATCH_32,4:00 PM,
OUTBOUND       ,BATCH_33,,End of Day on Second of every month
INBOUND,BATCH_34,1:00 PM,
INBOUND,BATCH_35,10:00 AM,
INBOUND,BATCH_36,6:00 AM,
INBOUND,BATCH_37,5:00 PM,
INBOUND,BATCH_38,5:00 PM,
INBOUND,BATCH_39,10:00 PM,
INBOUND,BATCH_40,7:00 PM (Every Wednesday),EOD
,BATCH_41,,
,BATCH_42,,
,BATCH_43,,
,BATCH_44,,
,BATCH_45,,
,BATCH_46,,
,BATCH_47,,
,BATCH_48,,
,BATCH_49,,
,BATCH_50,,
,BATCH_51,,
,BATCH_52,,
,BATCH_53,,
,BATCH_54,,
,BATCH_55,,
,BATCH_56,,
,BATCH_57,,
,BATCH_58,,
,BATCH_59,,
,BATCH_60,,
,BATCH_61,,
,BATCH_62,,
,BATCH_63,,
,BATCH_64,,
,BATCH_65,,
,BATCH_66,,
,BATCH_67,,
,BATCH_68,,
,BATCH_69,,
,BATCH_70,,
,BATCH_71,,
,BATCH_72,,
,BATCH_73,,
,BATCH_74,,
,BATCH_75,,
,BATCH_76,,
,BATCH_77,,
,BATCH_78,,
,BATCH_79,,
,BATCH_80,,
,BATCH_81,,
,BATCH_82,,
,BATCH_83,,
,BATCH_84,,
,BATCH_85,,
,BATCH_86,,
